Area,name,id,category,location,restaurant
"Wichita, Kansas",Riverside Park,4bad4300f964a5204d3f3be3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}","(37.69593837186494, -97.34866232816469)",False
"Wichita, Kansas",Central Standard Brewing,55590093498ef57fb6d7fb9c,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}","(37.68454840578852, -97.31817126274109)",True
"Wichita, Kansas",The Humidor,4b4b8645f964a520239f26e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/tobacco_', 'suffix': '.png'}","(37.72421940316011, -97.44177954685664)",False
"Wichita, Kansas",Lake Afton,4b94325ef964a520136e34e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/lake_', 'suffix': '.png'}","(37.616245037839775, -97.62800994168208)",False
"Wichita, Kansas",Cloumel Township,544d85c7498e8a82d689c4df,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}","(37.55178652269902, -97.5685277723624)",False
"Wichita, Kansas",Clonmel Community Center,4da0e3cfc6e96ea8f918b55d,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}","(37.56314, -97.55529999732971)",False
"Wichita, Kansas",Clonmel Pitstop,5247201911d27290d9f59bea,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}","(37.565583891357925, -97.5518717290816)",True
"Wichita, Kansas",YMCA Camp Hyde,4de189e17d8b2547eaeefe4e,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/campground_', 'suffix': '.png'}","(37.558384999999994, -97.639418)",False
"Wichita, Kansas",Lake Afton Public Observatory,4cd5fd9289eb6dcb4cc52c1e,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_planetarium_', 'suffix': '.png'}","(37.61876162604371, -97.6280070288182)",False
"Wichita, Kansas",Midwest Mini Mi-kis,59fd4fcffc9e941a277835b0,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pet_store_', 'suffix': '.png'}","(37.593134, -97.522008)",False
"Wichita, Kansas",Goddard Ball Fields,4da0a8c5bf22a143af6088f8,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/baseballfield_', 'suffix': '.png'}","(37.656063815582755, -97.58128705882277)",False
"Wichita, Kansas",South YMCA,4b898f98f964a520cf4132e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}","(37.63097919156522, -97.37655919253433)",False
"Wichita, Kansas",Pawnee Prairie Park,4cfe684120fe3704473e65f8,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}","(37.649601279302544, -97.45508370150706)",False
"Wichita, Kansas",Freddy's Frozen Custard,5b8ed2eda4ba7c002cfe6891,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.631588, -97.36981)",True
"Wichita, Kansas",QuikTrip,4c5c08d86147be9a72108e09,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}","(37.623063548169895, -97.37104139467296)",False
"Wichita, Kansas",River City Brewing Co. @ Eisenhower National Airport,5570778b498edadbde6c510b,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}","(37.653662713749696, -97.4310368486717)",True
"Wichita, Kansas",Family Video,4d0699b237036dcbe1ec1cfb,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/video_', 'suffix': '.png'}","(37.56395921622505, -97.35932419713461)",False
"Wichita, Kansas",SCSA Fields,4b9c1762f964a520024936e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_', 'suffix': '.png'}","(37.604325536927306, -97.3644250356535)",False
"Wichita, Kansas",Chick-fil-A,556f81e3498ee344bc10feec,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.65365632671247, -97.43104524644316)",True
"Wichita, Kansas",Bionic Burger,4d2a14d2342d6dcba64209cb,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}","(37.56733319616912, -97.3527763756285)",True
"Wichita, Kansas",Enterprise Rent-A-Car,4ff1c0d4e4b04bc47c8a5257,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/airport_rentalcar_', 'suffix': '.png'}","(37.653981, -97.430001)",False
"Wichita, Kansas",Avis Car Rental,4cae2fdccbab236a5c338e73,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/airport_rentalcar_', 'suffix': '.png'}","(37.65416292022189, -97.43029533563568)",False
"Wichita, Kansas",Budget Car and Truck Rental,4f84f2eee4b097bae7a845d5,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/airport_rentalcar_', 'suffix': '.png'}","(37.6541318, -97.429764)",False
"Wichita, Kansas",Hertz,4c7ed824fb13a1cdd6f19ea4,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/airport_rentalcar_', 'suffix': '.png'}","(37.653676, -97.42979)",False
"Wichita, Kansas",Pizza Hut,4c37b74218e72d7f431717f5,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}","(37.56984211263615, -97.35152989625931)",True
"Wichita, Kansas",SONIC Drive In,4b956eaaf964a52046a234e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}","(37.6084617018881, -97.3527724333507)",True
"Wichita, Kansas",Dollar General,4c27ac05f1272d7f4e9b88c5,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/discountstore_', 'suffix': '.png'}","(37.56594206252153, -97.3519408257395)",False
"Wichita, Kansas",Little Caesars Pizza,4e922136b8f7cece22b70716,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}","(37.56853065951155, -97.35282421479849)",True
"Wichita, Kansas",Village Inn,4b6db68bf964a520e5882ce3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/breakfast_', 'suffix': '.png'}","(37.63069008918015, -97.37107549428666)",True
